"","x"
"2718","SOAT1"
"2719","OCLN"
"2720","MSLN"
"2721","NEK3"
"2722","GLRA2"
"2723","IL1RN"
"2724","BAD"
"2725","CCRL2"
"2726","ITGAM"
"2727","LAMP1"
"2728","SSTR5"
"2729","CELA1"
"2730","PSCA"
"2731","CTSK"
"2732","CACNG1"
"2733","GPR18"
"2734","KCNS1"
"2735","MKNK1"
"2736","CHRNB2"
"2737","NFE2"
"2738","PDGFB"
"2739","ACE"
"2740","SLC2A5"
"2741","METAP2"
"2742","M6PR"
"2743","CD37"
"2744","ITGA5"
"2745","MST1"
"2746","RLN2"
"2747","IL17RA"
"2748","IGF1R"
"2749","PIP"
"2750","TEP1"
"2751","VDAC2"
"2752","CD28"
"2753","OPRL1"
"2754","SLC6A9"
"2755","HTR6"
"2756","SLC22A11"
"2757","CASP1"
"2758","CACNG4"
"2759","IDE"
"2760","TNK1"
"2761","ITGB6"
"2762","UGT1A6"
"2763","SEMA4D"
"2764","CDK19"
"2765","GRK4"
"2766","MIA"
"2767","GPA33"
"2768","IL12RB2"
"2769","PRRT2"
"2770","PAK6"
"2771","SERPINA1"
"2772","PDGFRB"
"2773","CCR7"
"2774","MCOLN1"
"2775","KLK4"
"2776","HMOX1"
"2777","NDUFS3"
"2778","AHR"
"2779","KMT2D"
"2780","C3AR1"
"2781","ENTPD1"
"2782","PCSK9"
"2783","AREG"
"2784","MVK"
"2785","COL6A1"
"2786","GRB2"
"2787","SLC44A1"
